,pT3 (kidney),GenePattern module KMeansClustering,Stage IIIA (FIGO),angstrom,pT1 (ovary),Stage 1 (FIGO),hertz,Waters,pT3b (ovary),pT2 (kidney),Thermo,cM0 (ovary),pT3a (ovary),Abbott,pT1b (ovary),Stage 2A (FIGO),cM1 (lung),pT1a (kidney),XML,kilogram,ambidexterous,pN2a (colon),ready for release,Stage IVB (FIGO),nanogram,term imported,picogram,nanomolar,pT2 (colon),molar,GenePattern CART,Ambion,cM1a (lung),defined class,Affymetrix,Applied Biosystems,pT0 (ovary),pT2 (lung),mass percentage,pT2a (lung),pT2c (ovary),Stage IVA (FIGO),micrometer,gram per liter,InBios,OWL,G1 (WHO),Stage IB2 (FIGO),pN2 (lung),colony forming unit per volume,Stage IIIA (AJCC 7th),pT3c (kidney),cubic decimeter,week,Bruker Daltonics,to be replaced with external ontology term,G1: Well differentiated,pT3 (colon),pN0 (ovary),GenePattern PCA,FCS,Stage IVA (AJCC 7th),pT3b (kidney),count per nanomolar,Affymetrix,GenePattern module HierarchicalClusteringViewer,Stage 2 (FIGO),minute,NanoString Technologies,nanometer,second,mass volume percentage,Transformation-ML,Stage 2B (FIGO),Stage I (AJCC 7th),requires discussion,universal,G2 (WHO),term split,pM1 (lung),pT0 (kidney),placeholder removed,Thermo Fisher Scientific,Agilent,Stage IVB (AJCC 7th),G3 (Fuhrman),uncurated,Stage IB1 (FIGO),pN1 (ovary),Stage 3 (FIGO),cM1b (lung),Compensation-ML,G1 (Fuhrman),picomole,pT1a (ovary),RDF,example to be eventually removed,pT1a (lung),pN0 (colon),pT4 (kidney),microgram per liter,Helicos,gram per deciliter,micromolar,Stage 1C (FIGO),Low grade ovarian tumor,Millipore,pM1 (kidney),Invitrogen,BIO-RAD,G4 (Fuhrman),pT0 (lung),Nimblegen,pT2b (ovary),GenePattern k-nearest neighbors,count per nanomolar second,cM1b (colon),meter,High grade ovarian tumor,GenePattern hierarchical clustering,Exbio Antibodies,Stage IA2 (FIGO),pT2a (kidney),UO_0000033,GenePattern HeatMapViewer data visualization,Roche,GenePattern module KNN,cM0 (kidney),microgram,pN1 (colon),pT4 (lung),Pacific Biosciences,Stage IIA1 (FIGO),Stage IIB (AJCC 7th),pTis (colon),Stage IIA2 (FIGO),Stage IIA (FIGO),micromole,pN0 (lung),Exalpha Biological,milliliter per liter,named class expression,cM0 (lung),GenePattern LOOCV,CytoBuoy,pTis (lung),left handed,pN1a (colon),zip,gram,"40-50: symptomatic, in bed more than 50% of the day, but not bed ridden",cubic centimeter,month,milligram,pN0 (kidney),GenePattern module HeatMapViewer,G2: Moderately differentiated,UO_0000196,Li-Cor,GenePattern module SVM,60-70: symptomatic but in bed less than 50% of the day,millimeter,GenePattern k-means clustering,Beckman Coulter,GenePattern module KNNXValidation,picomolar,degree Celsius,picoliter,Apogee Flow Systems,Stage 3B (FIGO),millimolar,Stage 3C (FIGO),centimeter,Miltenyi Biotec,Bentley Instruments,pM1 (ovary),pT1 (colon),pT0 (colon),liter,Oxford Nanopore Technologies,Becton Dickinson (BD Biosciences),pT2b (kidney),1: symptomatic but fully ambulatory,cM0 (colon),pT1b (lung),pT4a (colon),G4 (WHO),Stage IIIB (AJCC 7th),milligram per milliliter,count per molar,out of scope,GenePattern module CARTXValidation,Stage IA1 (FIGO),pT3c (ovary),Stage 3A (FIGO),pM1a (colon),pT4b (colon),J. Mitra,pN3 (lung),pM1a (lung),domain entity does not exist
cubic centimeter,0.51953125,0.46679688,0.55078125,0.73828125,0.51953125,0.53125,0.671875,0.43945312,0.53515625,0.50390625,0.44726562,0.53515625,0.53515625,0.48242188,0.53125,0.52734375,0.53515625,0.53125,0.46289062,0.73046875,0.47265625,0.47070312,0.42382812,0.54296875,0.72265625,0.43359375,0.69921875,0.70703125,0.49804688,0.66796875,0.45898438,0.48632812,0.52734375,0.5,0.453125,0.4921875,0.50390625,0.5078125,0.60546875,0.51953125,0.54296875,0.53515625,0.765625,0.6953125,0.46875,0.40820312,0.52734375,0.5234375,0.48046875,0.6875,0.51953125,0.52734375,0.93359375,0.61328125,0.4609375,0.47070312,0.53125,0.51171875,0.484375,0.45117188,0.4453125,0.51171875,0.5234375,0.64453125,0.46875,0.47460938,0.5078125,0.66796875,0.48046875,0.73828125,0.6328125,0.68359375,0.42578125,0.515625,0.515625,0.4453125,0.5234375,0.5234375,0.43359375,0.49609375,0.49804688,0.42773438,0.51953125,0.5,0.515625,0.546875,0.45703125,0.54296875,0.49023438,0.53515625,0.53125,0.44140625,0.55859375,0.70703125,0.53515625,0.3984375,0.45898438,0.53125,0.4765625,0.49804688,0.71875,0.50390625,0.73046875,0.71875,0.5546875,0.49804688,0.5546875,0.5078125,0.515625,0.49804688,0.53515625,0.5,0.46679688,0.515625,0.44335938,0.63671875,0.51171875,0.76171875,0.47070312,0.46484375,0.44140625,0.53125,0.51953125,0.6328125,0.453125,0.484375,0.45703125,0.53125,0.734375,0.48046875,0.49414062,0.46289062,0.54296875,0.515625,0.4921875,0.53125,0.53515625,0.7109375,0.484375,0.5,0.71484375,0.48242188,0.53125,0.46289062,0.5234375,0.5,0.48828125,0.49414062,0.44140625,0.72265625,0.51171875,0.99609375,0.62109375,0.78125,0.47851562,0.45703125,0.52734375,0.7109375,0.46484375,0.46484375,0.5,0.80859375,0.46289062,0.5625,0.44726562,0.6953125,0.70703125,0.83203125,0.53125,0.5390625,0.73828125,0.55859375,0.82421875,0.5,0.4921875,0.50390625,0.51171875,0.49414062,0.8671875,0.484375,0.51953125,0.51171875,0.53125,0.50390625,0.52734375,0.49414062,0.515625,0.51171875,0.74609375,0.58984375,0.39257812,0.46484375,0.546875,0.52734375,0.546875,0.48632812,0.49023438,0.45507812,0.48632812,0.49609375,0.42773438
month,0.46875,0.46679688,0.5078125,0.65234375,0.48046875,0.51953125,0.69140625,0.38867188,0.49414062,0.4609375,0.4140625,0.4453125,0.49414062,0.453125,0.4921875,0.515625,0.42773438,0.4765625,0.48828125,0.6640625,0.50390625,0.44726562,0.45703125,0.52734375,0.59375,0.515625,0.55859375,0.578125,0.4609375,0.58203125,0.4453125,0.4609375,0.43554688,0.546875,0.40429688,0.4296875,0.46679688,0.46484375,0.53125,0.47265625,0.47460938,0.51171875,0.66015625,0.546875,0.453125,0.43554688,0.51953125,0.5,0.43554688,0.51953125,0.48828125,0.45507812,0.6328125,0.953125,0.42382812,0.49023438,0.50390625,0.46679688,0.44726562,0.453125,0.421875,0.48632812,0.47460938,0.546875,0.43359375,0.453125,0.49804688,0.8359375,0.4375,0.64453125,0.84375,0.5390625,0.4140625,0.5078125,0.48828125,0.47460938,0.58984375,0.5078125,0.53125,0.44921875,0.453125,0.484375,0.4921875,0.45703125,0.5078125,0.50390625,0.45507812,0.515625,0.453125,0.515625,0.44726562,0.43945312,0.51953125,0.55859375,0.4921875,0.42382812,0.515625,0.4765625,0.44335938,0.46484375,0.546875,0.42382812,0.58203125,0.57421875,0.50390625,0.47070312,0.47070312,0.4609375,0.45703125,0.44140625,0.49609375,0.45703125,0.46679688,0.48242188,0.45703125,0.56640625,0.4375,0.70703125,0.4609375,0.4765625,0.41992188,0.4921875,0.47070312,0.8359375,0.43945312,0.45507812,0.453125,0.43359375,0.6015625,0.44335938,0.46289062,0.41601562,0.50390625,0.48632812,0.46289062,0.49804688,0.49609375,0.5859375,0.44335938,0.453125,0.54296875,0.49609375,0.43164062,0.44921875,0.41796875,0.46289062,0.51171875,0.453125,0.45703125,0.62109375,0.54296875,0.62109375,1.0,0.64453125,0.43359375,0.44335938,0.49414062,0.60546875,0.4375,0.42578125,0.53125,0.70703125,0.46484375,0.48242188,0.4453125,0.546875,0.62890625,0.56640625,0.47070312,0.5234375,0.58984375,0.5078125,0.70703125,0.43554688,0.4609375,0.47070312,0.46679688,0.45703125,0.64453125,0.46484375,0.46484375,0.46679688,0.51171875,0.41992188,0.47265625,0.46679688,0.5,0.48828125,0.5625,0.5546875,0.44726562,0.4375,0.5078125,0.47070312,0.5234375,0.44921875,0.46679688,0.43554688,0.43945312,0.45507812,0.5078125
milligram,0.52734375,0.48828125,0.53515625,0.77734375,0.51953125,0.54296875,0.70703125,0.44335938,0.5234375,0.515625,0.43359375,0.484375,0.5234375,0.5078125,0.52734375,0.53125,0.49609375,0.546875,0.49023438,0.91015625,0.49414062,0.48828125,0.4609375,0.53515625,0.9375,0.49023438,0.9140625,0.75,0.50390625,0.71875,0.47460938,0.51953125,0.50390625,0.53125,0.5078125,0.50390625,0.50390625,0.5078125,0.72265625,0.51953125,0.50390625,0.52734375,0.80859375,0.74609375,0.49023438,0.453125,0.5546875,0.51953125,0.48242188,0.640625,0.5234375,0.515625,0.76171875,0.6484375,0.5078125,0.5078125,0.54296875,0.51171875,0.48242188,0.45703125,0.42773438,0.51171875,0.53515625,0.65234375,0.515625,0.48242188,0.51171875,0.7109375,0.52734375,0.7734375,0.66796875,0.71875,0.43945312,0.51953125,0.5234375,0.48632812,0.5625,0.54296875,0.48046875,0.51171875,0.51953125,0.46484375,0.5546875,0.546875,0.51953125,0.546875,0.49804688,0.546875,0.484375,0.53125,0.5078125,0.46289062,0.5703125,0.76953125,0.53125,0.44921875,0.5,0.53515625,0.49023438,0.515625,0.8046875,0.51171875,0.76953125,0.76953125,0.53125,0.5234375,0.58203125,0.53515625,0.52734375,0.515625,0.546875,0.5078125,0.5234375,0.5078125,0.46484375,0.65234375,0.49609375,0.78125,0.49804688,0.48242188,0.47851562,0.5234375,0.52734375,0.640625,0.453125,0.53515625,0.48046875,0.5078125,0.9609375,0.49023438,0.5,0.49609375,0.53515625,0.51171875,0.5078125,0.51953125,0.5234375,0.78125,0.49023438,0.5390625,0.72265625,0.51171875,0.49023438,0.44726562,0.515625,0.5078125,0.5,0.5078125,0.46875,0.921875,0.546875,0.78125,0.64453125,1.0078125,0.5,0.46289062,0.53125,0.74609375,0.4765625,0.46484375,0.53515625,0.82421875,0.48046875,0.5625,0.46484375,0.7421875,0.671875,0.7578125,0.5,0.53515625,0.765625,0.52734375,0.8046875,0.53515625,0.52734375,0.5078125,0.52734375,0.51171875,0.7734375,0.5234375,0.5390625,0.5234375,0.546875,0.4765625,0.53125,0.50390625,0.5390625,0.51171875,0.80859375,0.58203125,0.42578125,0.47265625,0.546875,0.49804688,0.5390625,0.5078125,0.5078125,0.5078125,0.484375,0.51953125,0.47265625
pN0 (kidney),0.875,0.53515625,0.71875,0.5234375,0.79296875,0.71875,0.4765625,0.35351562,0.76953125,0.88671875,0.38867188,0.73828125,0.78125,0.44921875,0.78515625,0.69921875,0.71484375,0.88671875,0.40820312,0.47265625,0.4453125,0.8671875,0.5078125,0.703125,0.53125,0.46484375,0.515625,0.51171875,0.76953125,0.41992188,0.5078125,0.48632812,0.71484375,0.50390625,0.43359375,0.44335938,0.83984375,0.80859375,0.41992188,0.80078125,0.77734375,0.70703125,0.50390625,0.44921875,0.45703125,0.390625,0.6640625,0.70703125,0.875,0.484375,0.76953125,0.8671875,0.484375,0.4453125,0.41992188,0.5546875,0.71484375,0.76171875,0.90625,0.48046875,0.3828125,0.79296875,0.859375,0.5234375,0.46875,0.515625,0.6875,0.4296875,0.5234375,0.54296875,0.45507812,0.45117188,0.3828125,0.6796875,0.80078125,0.51171875,0.46679688,0.65625,0.47265625,0.75390625,0.93359375,0.49804688,0.47460938,0.44140625,0.76171875,0.671875,0.52734375,0.7109375,0.87109375,0.69921875,0.7109375,0.40625,0.69140625,0.51171875,0.79296875,0.37695312,0.58203125,0.80078125,0.89453125,0.87109375,0.484375,0.4453125,0.48242188,0.46484375,0.7109375,0.625,0.48632812,0.84765625,0.45703125,0.47851562,0.671875,0.85546875,0.47851562,0.76953125,0.56640625,0.53515625,0.6953125,0.484375,0.59375,0.4921875,0.44921875,0.72265625,0.8828125,0.4765625,0.45703125,0.45507812,0.59375,0.828125,0.5,0.8671875,0.78125,0.46484375,0.70703125,0.7578125,0.765625,0.69921875,0.70703125,0.4609375,0.9140625,0.4921875,0.46679688,0.51953125,0.734375,0.51953125,0.47851562,0.79296875,0.4609375,0.86328125,0.41210938,0.4453125,0.59375,0.47851562,0.43359375,0.5,1.0078125,0.49804688,0.6875,0.50390625,0.44140625,0.50390625,0.6328125,0.515625,0.51953125,0.4921875,0.57421875,0.515625,0.5,0.50390625,0.46289062,0.69140625,0.46484375,0.6953125,0.5078125,0.48632812,0.40234375,0.7578125,0.78515625,0.828125,0.4609375,0.49804688,0.484375,0.86328125,0.640625,0.71484375,0.79296875,0.7578125,0.64453125,0.7578125,0.47460938,0.484375,0.4609375,0.515625,0.73046875,0.76953125,0.703125,0.73828125,0.7421875,0.4375,0.859375,0.75390625,0.53515625
GenePattern module HeatMapViewer,0.49804688,0.82421875,0.53125,0.46484375,0.50390625,0.53125,0.48828125,0.36132812,0.515625,0.49804688,0.41992188,0.48828125,0.51171875,0.421875,0.51171875,0.5390625,0.48632812,0.50390625,0.484375,0.41796875,0.41796875,0.51171875,0.47070312,0.546875,0.46484375,0.421875,0.45507812,0.46289062,0.49023438,0.39453125,0.75,0.53515625,0.4921875,0.46875,0.5625,0.57421875,0.5078125,0.5078125,0.41015625,0.5078125,0.49804688,0.52734375,0.46679688,0.44726562,0.5078125,0.45507812,0.5703125,0.54296875,0.5078125,0.46875,0.51953125,0.49414062,0.47070312,0.453125,0.44140625,0.50390625,0.5859375,0.48828125,0.5078125,0.74609375,0.4375,0.5234375,0.5,0.46679688,0.609375,0.91796875,0.51953125,0.42382812,0.51953125,0.484375,0.42773438,0.44140625,0.49414062,0.52734375,0.51953125,0.4765625,0.44726562,0.578125,0.421875,0.5078125,0.50390625,0.45898438,0.5625,0.546875,0.54296875,0.60546875,0.49414062,0.55078125,0.51171875,0.53125,0.50390625,0.48242188,0.61328125,0.45898438,0.5078125,0.421875,0.52734375,0.5078125,0.50390625,0.50390625,0.453125,0.51953125,0.47851562,0.45507812,0.52734375,0.49609375,0.5,0.515625,0.5390625,0.54296875,0.6015625,0.51171875,0.453125,0.50390625,0.7265625,0.45898438,0.49023438,0.44140625,0.51171875,0.78125,0.48046875,0.53515625,0.50390625,0.48046875,0.87890625,0.4375,0.80859375,0.4921875,0.45507812,0.51171875,0.5078125,0.52734375,0.5234375,0.5234375,0.50390625,0.52734375,0.51953125,0.43359375,0.51171875,0.51171875,0.44335938,0.50390625,0.49023438,0.67578125,0.48632812,0.51953125,0.44140625,0.5078125,0.48828125,0.41601562,0.50390625,0.45703125,0.44335938,0.46289062,0.49804688,1.0,0.58984375,0.48828125,0.48242188,0.80859375,0.5078125,0.49023438,0.7578125,0.52734375,0.80859375,0.46289062,0.49609375,0.4453125,0.47070312,0.5390625,0.46484375,0.52734375,0.48242188,0.52734375,0.45703125,0.51171875,0.49414062,0.49804688,0.42773438,0.50390625,0.52734375,0.5,0.54296875,0.47460938,0.51171875,0.49804688,0.5703125,0.515625,0.47265625,0.44726562,0.42773438,0.796875,0.53515625,0.5,0.54296875,0.50390625,0.49609375,0.42578125,0.49804688,0.51171875,0.44921875
G2: Moderately differentiated,0.73828125,0.578125,0.7734375,0.51953125,0.73828125,0.7265625,0.5,0.4140625,0.77734375,0.76171875,0.42773438,0.6796875,0.76953125,0.48046875,0.7734375,0.76171875,0.671875,0.73046875,0.44335938,0.48828125,0.5,0.7421875,0.53515625,0.73046875,0.51953125,0.5,0.50390625,0.52734375,0.7734375,0.48046875,0.5859375,0.5234375,0.67578125,0.5546875,0.5,0.50390625,0.71484375,0.77734375,0.4765625,0.7734375,0.7890625,0.73828125,0.515625,0.52734375,0.48242188,0.4453125,0.8515625,0.78125,0.73046875,0.546875,0.78515625,0.73046875,0.52734375,0.49414062,0.47851562,0.6015625,0.9296875,0.75,0.70703125,0.53515625,0.44921875,0.7734375,0.75,0.51953125,0.53125,0.6171875,0.75390625,0.48632812,0.5234375,0.5234375,0.51171875,0.5078125,0.44726562,0.76171875,0.76953125,0.5703125,0.49414062,0.89453125,0.515625,0.6796875,0.69921875,0.5078125,0.546875,0.53125,0.75390625,0.89453125,0.57421875,0.7578125,0.72265625,0.74609375,0.68359375,0.44726562,0.88671875,0.515625,0.75,0.421875,0.5859375,0.734375,0.70703125,0.72265625,0.515625,0.51171875,0.5625,0.51953125,0.74609375,0.78515625,0.52734375,0.68359375,0.5546875,0.52734375,0.875,0.703125,0.49023438,0.7890625,0.55078125,0.51171875,0.67578125,0.5078125,0.76171875,0.6015625,0.5,0.765625,0.765625,0.54296875,0.5625,0.49609375,0.58984375,0.67578125,0.515625,0.72265625,0.7265625,0.484375,0.76953125,0.8046875,0.7421875,0.77734375,0.7734375,0.5078125,0.69921875,0.52734375,0.51171875,0.55078125,0.66796875,0.546875,0.515625,0.74609375,0.5,0.71875,0.44726562,0.5078125,0.66015625,0.52734375,0.49414062,0.53125,0.6875,0.58984375,1.0,0.55078125,0.48632812,0.57421875,0.67578125,0.55078125,0.56640625,0.55078125,0.58984375,0.51171875,0.53125,0.48242188,0.49609375,0.75390625,0.52734375,0.7421875,0.54296875,0.546875,0.45507812,0.69140625,0.734375,0.703125,0.49804688,0.48632812,0.55078125,0.76953125,0.69140625,0.65625,0.7578125,0.734375,0.83984375,0.78125,0.53125,0.53125,0.46875,0.59765625,0.734375,0.75390625,0.75390625,0.68359375,0.734375,0.5,0.70703125,0.68359375,0.52734375
UO_0000196,0.51953125,0.51953125,0.5390625,0.71875,0.51953125,0.5703125,0.6875,0.46289062,0.515625,0.515625,0.453125,0.5078125,0.515625,0.50390625,0.52734375,0.5546875,0.5,0.546875,0.4765625,0.68359375,0.46679688,0.5,0.4765625,0.55859375,0.73046875,0.50390625,0.70703125,0.86328125,0.5,0.86328125,0.484375,0.55078125,0.5,0.53125,0.5078125,0.515625,0.5,0.49414062,0.8203125,0.50390625,0.515625,0.55078125,0.69140625,0.86328125,0.484375,0.45703125,0.57421875,0.53125,0.484375,0.8046875,0.5,0.51953125,0.7109375,0.60546875,0.53515625,0.55078125,0.55859375,0.50390625,0.49023438,0.48828125,0.45703125,0.51953125,0.5234375,0.77734375,0.51171875,0.52734375,0.5390625,0.6328125,0.52734375,0.69140625,0.625,0.83203125,0.46484375,0.54296875,0.52734375,0.51171875,0.578125,0.55859375,0.5,0.5078125,0.51171875,0.4921875,0.58203125,0.53515625,0.52734375,0.58203125,0.53125,0.55859375,0.49414062,0.546875,0.5078125,0.49609375,0.61328125,0.78515625,0.53125,0.42578125,0.5234375,0.51953125,0.5,0.51953125,0.84375,0.53515625,0.8671875,0.87109375,0.5703125,0.5234375,0.59375,0.546875,0.56640625,0.54296875,0.5859375,0.49804688,0.4765625,0.5078125,0.48828125,0.74609375,0.51171875,0.671875,0.515625,0.51171875,0.484375,0.53125,0.5234375,0.69140625,0.47460938,0.5234375,0.51171875,0.5234375,0.734375,0.5,0.49414062,0.5234375,0.5546875,0.51171875,0.5078125,0.53515625,0.5390625,0.7890625,0.48828125,0.5546875,0.8671875,0.53515625,0.49609375,0.48828125,0.546875,0.50390625,0.47265625,0.51171875,0.46679688,0.6875,0.55078125,0.7109375,0.60546875,0.74609375,0.50390625,0.48828125,0.55078125,0.99609375,0.51953125,0.48828125,0.5390625,0.69921875,0.49804688,0.57421875,0.50390625,0.83984375,0.6484375,0.69921875,0.51953125,0.546875,0.875,0.55078125,0.6953125,0.5546875,0.52734375,0.5234375,0.5234375,0.50390625,0.6953125,0.53515625,0.5546875,0.51953125,0.546875,0.49414062,0.51953125,0.5078125,0.55859375,0.49804688,0.86328125,0.67578125,0.4375,0.50390625,0.5625,0.50390625,0.55078125,0.51953125,0.5078125,0.5,0.47460938,0.515625,0.5078125
Li-Cor,0.44140625,0.47460938,0.49609375,0.5234375,0.44726562,0.47460938,0.47851562,0.5859375,0.45703125,0.4375,0.60546875,0.44921875,0.46289062,0.640625,0.453125,0.48828125,0.453125,0.44921875,0.4140625,0.45898438,0.44140625,0.47265625,0.47460938,0.49414062,0.48046875,0.47070312,0.47460938,0.51953125,0.45703125,0.45703125,0.50390625,0.6875,0.4609375,0.484375,0.671875,0.73046875,0.4375,0.47070312,0.4453125,0.47851562,0.4609375,0.48242188,0.53125,0.49414062,0.6640625,0.41601562,0.48632812,0.47851562,0.46289062,0.48632812,0.48828125,0.45117188,0.4765625,0.42382812,0.65625,0.53125,0.49609375,0.4609375,0.453125,0.4765625,0.41992188,0.48046875,0.44140625,0.49609375,0.71875,0.49804688,0.4609375,0.42578125,0.71484375,0.5390625,0.43554688,0.45703125,0.39257812,0.47265625,0.47070312,0.47851562,0.45507812,0.47265625,0.46875,0.46484375,0.4296875,0.47265625,0.7265625,0.7578125,0.49023438,0.49414062,0.5,0.48632812,0.45898438,0.48242188,0.4609375,0.45117188,0.51953125,0.49804688,0.4609375,0.38476562,0.49023438,0.47851562,0.46679688,0.43945312,0.5078125,0.71875,0.49609375,0.50390625,0.5,0.44726562,0.703125,0.4453125,0.71875,0.7421875,0.49414062,0.45898438,0.61328125,0.44335938,0.45507812,0.48046875,0.44726562,0.484375,0.43164062,0.47851562,0.609375,0.484375,0.44726562,0.45117188,0.45898438,0.6640625,0.47851562,0.43164062,0.47851562,0.46875,0.46875,0.70703125,0.47460938,0.47265625,0.46289062,0.47460938,0.47070312,0.48046875,0.47265625,0.68359375,0.49804688,0.49023438,0.45507812,0.49023438,0.66796875,0.48242188,0.46679688,0.4765625,0.35546875,0.4296875,0.4453125,0.46484375,0.4375,0.4765625,0.44140625,0.48242188,0.48632812,0.51953125,1.0,0.46875,0.44335938,0.5078125,0.45703125,0.75390625,0.47851562,0.51953125,0.46484375,0.4765625,0.640625,0.49023438,0.51171875,0.5,0.49023438,0.6953125,0.69921875,0.45507812,0.45898438,0.44921875,0.45703125,0.6953125,0.69921875,0.43359375,0.46289062,0.43554688,0.47070312,0.46484375,0.47460938,0.47460938,0.484375,0.45507812,0.4453125,0.49414062,0.48242188,0.45703125,0.5,0.4609375,0.453125,0.63671875,0.4609375,0.47070312,0.47460938
GenePattern module SVM,0.515625,0.85546875,0.5390625,0.453125,0.5078125,0.5234375,0.46679688,0.34179688,0.51953125,0.50390625,0.359375,0.50390625,0.51953125,0.41796875,0.51171875,0.53125,0.5234375,0.515625,0.49023438,0.40820312,0.44921875,0.515625,0.48046875,0.546875,0.46679688,0.44140625,0.45507812,0.4609375,0.4921875,0.40234375,0.7890625,0.53515625,0.5234375,0.50390625,0.55859375,0.546875,0.50390625,0.5234375,0.3984375,0.52734375,0.50390625,0.53125,0.45507812,0.4453125,0.49023438,0.47460938,0.55859375,0.52734375,0.52734375,0.484375,0.546875,0.51171875,0.46875,0.43359375,0.42382812,0.515625,0.57421875,0.5,0.5078125,0.75,0.45703125,0.546875,0.515625,0.4765625,0.59375,0.8203125,0.51171875,0.41992188,0.5078125,0.47070312,0.42578125,0.4375,0.5703125,0.51953125,0.52734375,0.48632812,0.453125,0.5625,0.4453125,0.54296875,0.5078125,0.45898438,0.515625,0.5234375,0.55859375,0.59375,0.5078125,0.54296875,0.51953125,0.53515625,0.53125,0.55859375,0.59765625,0.484375,0.515625,0.42578125,0.53515625,0.53125,0.5078125,0.515625,0.45117188,0.515625,0.45703125,0.453125,0.53125,0.48632812,0.49804688,0.5390625,0.5234375,0.5078125,0.58984375,0.51953125,0.47851562,0.50390625,0.76953125,0.4765625,0.5078125,0.43359375,0.5,0.74609375,0.47070312,0.52734375,0.51171875,0.47265625,0.69140625,0.44140625,0.87109375,0.51171875,0.45703125,0.51953125,0.5234375,0.52734375,0.5234375,0.5234375,0.50390625,0.515625,0.5078125,0.46484375,0.52734375,0.49804688,0.44726562,0.51171875,0.51953125,0.76171875,0.48828125,0.53125,0.4765625,0.515625,0.49023438,0.41992188,0.5078125,0.46484375,0.42578125,0.46484375,0.50390625,0.80859375,0.57421875,0.48828125,0.46875,1.0,0.51171875,0.47460938,0.7734375,0.515625,0.859375,0.46289062,0.41992188,0.4453125,0.4375,0.5390625,0.46484375,0.53515625,0.46484375,0.53125,0.46289062,0.53125,0.50390625,0.49609375,0.41992188,0.515625,0.5,0.50390625,0.5546875,0.4921875,0.52734375,0.5,0.55859375,0.53515625,0.46484375,0.45507812,0.44921875,0.84375,0.53125,0.51171875,0.546875,0.5234375,0.49804688,0.43945312,0.5234375,0.54296875,0.45507812
60-70: symptomatic but in bed less than 50% of the day,0.65234375,0.51953125,0.6796875,0.5078125,0.62890625,0.66015625,0.5078125,0.36132812,0.65234375,0.640625,0.38476562,0.58203125,0.65234375,0.46484375,0.64453125,0.6640625,0.58203125,0.640625,0.40625,0.49804688,0.51171875,0.640625,0.54296875,0.66796875,0.50390625,0.47070312,0.48632812,0.515625,0.64453125,0.46679688,0.5078125,0.47851562,0.58984375,0.52734375,0.45898438,0.46289062,0.62109375,0.640625,0.51953125,0.6484375,0.6328125,0.66015625,0.49804688,0.49609375,0.47460938,0.40234375,0.64453125,0.6640625,0.62890625,0.546875,0.671875,0.63671875,0.51171875,0.55078125,0.4296875,0.57421875,0.65234375,0.64453125,0.6171875,0.49023438,0.421875,0.6640625,0.65625,0.5234375,0.48828125,0.515625,0.6484375,0.52734375,0.484375,0.51171875,0.54296875,0.53125,0.40234375,0.65234375,0.66015625,0.55078125,0.48242188,0.64453125,0.47851562,0.62109375,0.6328125,0.5078125,0.5,0.45898438,0.671875,0.671875,0.5390625,0.66796875,0.62109375,0.6640625,0.59765625,0.4453125,0.68359375,0.5,0.63671875,0.37890625,0.5625,0.6328125,0.63671875,0.6484375,0.50390625,0.45703125,0.54296875,0.50390625,0.65234375,0.61328125,0.47851562,0.63671875,0.46875,0.46679688,0.66796875,0.62109375,0.4453125,0.640625,0.51953125,0.53515625,0.58984375,0.51171875,0.58203125,0.484375,0.42773438,0.65234375,0.64453125,0.5546875,0.47070312,0.45117188,0.55078125,0.6015625,0.51171875,0.640625,0.63671875,0.48242188,0.66796875,0.66796875,0.62890625,0.65625,0.6640625,0.48242188,0.625,0.5078125,0.52734375,0.53515625,0.58984375,0.515625,0.4609375,0.62890625,0.55078125,0.63671875,0.46289062,0.4765625,0.984375,0.5,0.53125,0.53515625,0.6328125,0.5078125,0.67578125,0.5390625,0.44335938,0.51171875,1.0078125,0.5390625,0.5,0.51171875,0.55078125,0.5078125,0.5234375,0.4765625,0.46289062,0.66796875,0.5078125,0.65625,0.53515625,0.47070312,0.43554688,0.6171875,0.63671875,0.625,0.48828125,0.47070312,0.5078125,0.64453125,0.875,0.578125,0.64453125,0.640625,0.6328125,0.67578125,0.5234375,0.51953125,0.48632812,0.53515625,0.66015625,0.6328125,0.671875,0.62109375,0.640625,0.44921875,0.625,0.625,0.53125
